District,State,District_Area_km2,OLD_Area_km2,NEW_Area_km2,Change_km2,Change_pct,OLD_pct_of_District,NEW_pct_of_District
Ajmer,Rajasthan,6916.56,1812.96,103.5,-1709.47,-94.3,26.2,1.5
Alwar,Rajasthan,4761.9,2914.6,715.93,-2198.67,-75.4,61.2,15.0
Aravalli,Gujarat,3256.46,2257.72,75.2,-2182.52,-96.7,69.3,2.3
Banaskantha,Gujarat,6133.43,4259.21,373.61,-3885.6,-91.2,69.4,6.1
Banswara,Rajasthan,4504.43,4130.97,135.82,-3995.15,-96.7,91.7,3.0
Beawar,Rajasthan,4755.11,2665.76,289.6,-2376.16,-89.1,56.1,6.1
Bharatpur,Rajasthan,2889.0,1134.13,48.63,-1085.5,-95.7,39.3,1.7
Bhilwara,Rajasthan,10056.11,4095.82,64.63,-4031.19,-98.4,40.7,0.6
Bhiwani,Haryana,3288.35,1733.6,0.58,-1733.03,-100.0,52.7,0.0
Bundi,Rajasthan,5772.99,3004.74,266.36,-2738.39,-91.1,52.0,4.6
Central Delhi,Delhi,89.2,64.68,0.0,-64.68,-100.0,72.5,0.0
Charkhi Dadri,Haryana,1373.41,719.63,3.97,-715.66,-99.4,52.4,0.3
Chittorgarh,Rajasthan,7806.41,4577.56,244.25,-4333.32,-94.7,58.6,3.1
Dausa,Rajasthan,3420.85,2215.06,114.32,-2100.74,-94.8,64.8,3.3
Dungarpur,Rajasthan,3777.26,3730.13,46.35,-3683.78,-98.8,98.8,1.2
Faridabad,Haryana,746.56,393.56,0.01,-393.55,-100.0,52.7,0.0
Gurugram,Haryana,1252.68,597.1,0.19,-596.91,-100.0,47.7,0.0
Jaipur,Rajasthan,9832.02,5722.23,198.74,-5523.48,-96.5,58.2,2.0
Jalore,Rajasthan,10676.66,5920.75,171.83,-5748.92,-97.1,55.5,1.6
Jhunjhunu,Rajasthan,5920.87,4001.86,135.66,-3866.2,-96.6,67.6,2.3
Jodhpur,Rajasthan,13134.39,4512.36,4.64,-4507.72,-99.9,34.4,0.0
Karauli,Rajasthan,5017.68,3500.88,314.62,-3186.26,-91.0,69.8,6.3
Kota,Rajasthan,5083.59,1751.9,75.18,-1676.72,-95.7,34.5,1.5
Mahendragarh,Haryana,1936.08,1083.32,17.16,-1066.16,-98.4,56.0,0.9
Mahesana,Gujarat,4423.74,2401.56,21.53,-2380.03,-99.1,54.3,0.5
Nagaur,Rajasthan,11001.72,3104.94,3.47,-3101.47,-99.9,28.2,0.0
New Delhi,Delhi,161.39,87.42,0.0,-87.42,-100.0,54.2,0.0
Nuh,Haryana,1505.38,453.35,56.91,-396.44,-87.4,30.1,3.8
Pali,Rajasthan,9910.87,2984.35,275.28,-2709.07,-90.8,30.1,2.8
Panchmahal,Gujarat,3282.74,2587.61,43.96,-2543.65,-98.3,78.8,1.3
Pratapgarh,Rajasthan,4430.19,3477.81,226.2,-3251.61,-93.5,78.5,5.1
Rajsamand,Rajasthan,4631.67,3944.46,562.03,-3382.43,-85.8,85.2,12.1
Rewari,Haryana,1564.04,580.44,4.23,-576.21,-99.3,37.1,0.3
Sabarkantha,Gujarat,4144.16,2801.93,222.92,-2579.01,-92.0,67.6,5.4
Salumber,Rajasthan,2628.87,2540.36,250.37,-2289.99,-90.1,96.6,9.5
Sawai Madhopur,Rajasthan,5025.15,2332.03,327.88,-2004.15,-85.9,46.4,6.5
Sikar,Rajasthan,7722.54,5986.3,183.48,-5802.81,-96.9,77.5,2.4
Sirohi,Rajasthan,5134.16,3547.66,798.54,-2749.11,-77.5,69.1,15.6
South Delhi,Delhi,150.37,127.35,0.0,-127.35,-100.0,84.7,0.0
South West Delhi,Delhi,283.77,123.86,0.0,-123.86,-100.0,43.6,0.0
Tonk,Rajasthan,7193.62,1647.82,35.96,-1611.86,-97.8,22.9,0.5
Udaipur,Rajasthan,9082.22,8566.15,2199.58,-6366.57,-74.3,94.3,24.2
